pid,arm,acc,minivlat_c,aiuse_c,mean_logd,n_toolitems,adoption_rate
P164,unrestricted,0.5625,1.3404255319148932,-2.0691489361702127,2.266162328735849,7,0.2857142857142857
P069,google,0.6875,0.3404255319148932,-1.0691489361702127,4.21289767166591,1,0.0
P026,socratic,0.3125,2.340425531914893,-0.06914893617021267,2.203096194493303,1,0.0
P044,google,0.8125,2.340425531914893,-0.06914893617021267,4.083095268505544,2,0.0
P132,unrestricted,0.75,-3.659574468085107,0.9308510638297873,3.1410311577627614,6,0.0
P144,google,0.5625,-2.659574468085107,-2.0691489361702127,1.7163467453992196,3,0.6666666666666666
P126,google,1.0,2.340425531914893,-2.0691489361702127,4.312491407919531,2,0.0
P015,socratic,0.1875,-7.659574468085107,-2.0691489361702127,2.6674709379702506,2,0.0
P138,socratic,0.75,1.3404255319148932,0.9308510638297873,2.555715482394558,7,0.2857142857142857
P025,unrestricted,0.75,0.3404255319148932,-3.0691489361702127,2.949893233389058,8,0.25
P179,unrestricted,0.6875,3.340425531914893,-0.06914893617021267,2.4507539363617004,8,0.125
P013,socratic,0.6875,0.3404255319148932,-0.06914893617021267,2.9354335781170526,5,0.0
P081,unrestricted,0.8125,3.340425531914893,-2.0691489361702127,2.556892404289612,6,0.0
P041,unrestricted,0.625,-4.659574468085107,0.9308510638297873,3.102622217447565,8,0.0
P117,socratic,0.9375,2.340425531914893,0.9308510638297873,3.0736831447871182,3,0.0
P094,socratic,0.8125,-1.6595744680851068,-1.0691489361702127,2.74238721350666,1,0.0
P153,socratic,0.25,-4.659574468085107,-0.06914893617021267,3.4005689050110055,8,0.25
P067,unrestricted,0.5625,-2.659574468085107,-1.0691489361702127,2.392261267127648,4,0.0
P075,socratic,0.9375,2.340425531914893,-1.0691489361702127,3.1383582189043295,2,0.5
P065,google,0.75,2.340425531914893,-0.06914893617021267,2.9609468721713488,4,0.0
P073,unrestricted,0.6875,-0.6595744680851068,0.9308510638297873,3.2749698919798713,8,0.0
P046,unrestricted,0.75,2.340425531914893,-0.06914893617021267,3.7175497110419142,2,0.0
P115,unrestricted,0.625,1.3404255319148932,-0.06914893617021267,2.7163857176692576,4,0.0
P039,google,0.625,1.3404255319148932,-1.0691489361702127,2.5289874405779416,3,0.0
P089,google,0.9375,2.340425531914893,-0.06914893617021267,2.388414970279902,2,0.0
P114,unrestricted,0.4375,-1.6595744680851068,0.9308510638297873,2.822411034294544,7,0.0
P027,unrestricted,0.75,-1.6595744680851068,0.9308510638297873,3.627177795812176,8,0.0
P188,unrestricted,0.625,-2.659574468085107,0.9308510638297873,2.3146866449304757,8,0.375
P142,unrestricted,0.75,-2.659574468085107,0.9308510638297873,2.564683404985194,7,0.14285714285714285
P071,socratic,0.875,0.3404255319148932,-2.0691489361702127,3.5578591916755324,1,0.0
P036,socratic,0.75,2.340425531914893,0.9308510638297873,1.1445412205565095,1,1.0
P102,unrestricted,0.8125,-0.6595744680851068,-0.06914893617021267,2.3502856069152935,5,0.0
P158,unrestricted,0.9375,-7.659574468085107,-1.0691489361702127,1.8618122501067438,3,0.3333333333333333
P170,google,0.3125,-1.6595744680851068,-0.06914893617021267,1.7447609688837071,8,0.375
P092,unrestricted,0.4375,0.3404255319148932,0.9308510638297873,2.470737834847704,7,0.0
P049,socratic,0.75,1.3404255319148932,0.9308510638297873,4.221623113180858,1,0.0
P004,google,0.6875,3.340425531914893,0.9308510638297873,3.0298907335956247,2,0.0
P014,unrestricted,0.625,0.3404255319148932,0.9308510638297873,3.1316768342724264,8,0.0
P203,socratic,0.5,-3.659574468085107,0.9308510638297873,3.2067802794576585,3,0.0
P045,socratic,0.875,1.3404255319148932,-0.06914893617021267,3.7128440458703804,2,0.0
P060,google,0.875,1.3404255319148932,0.9308510638297873,3.5647041564134385,1,0.0
P005,unrestricted,0.6875,0.3404255319148932,0.9308510638297873,1.6398611360833666,8,0.5
P131,unrestricted,1.0,0.3404255319148932,-0.06914893617021267,2.84342217515602,8,0.25
P059,unrestricted,0.875,4.340425531914893,0.9308510638297873,1.7814478917300143,6,0.3333333333333333
P028,google,0.9375,0.3404255319148932,-0.06914893617021267,2.71560163627977,5,0.0
P062,unrestricted,0.8125,2.340425531914893,-0.06914893617021267,3.0505045094009704,1,0.0
P066,google,0.4375,-5.659574468085107,0.9308510638297873,2.3087963728458276,6,0.16666666666666666
P042,unrestricted,0.9375,2.340425531914893,-0.06914893617021267,2.4453728532393306,8,0.125
P038,unrestricted,0.625,2.340425531914893,-1.0691489361702127,1.8666447476006847,3,0.3333333333333333
P192,unrestricted,0.75,2.340425531914893,-0.06914893617021267,2.5063340952855744,4,0.25
P061,socratic,0.875,3.340425531914893,0.9308510638297873,2.935026947560448,7,0.0
P084,google,0.6875,-1.6595744680851068,-0.06914893617021267,3.3133738752595487,6,0.0
P176,google,0.75,1.3404255319148932,0.9308510638297873,3.008613728913793,5,0.0
P111,socratic,0.75,2.340425531914893,-1.0691489361702127,3.40505300220575,5,0.0
